sort,n,seconds
bubble,10,2e-06
bubble,100,2.23333e-05
bubble,1000,0.002639
bubble,10000,0.213569
insertion,10,1.66667e-06
insertion,100,3.66667e-06
insertion,1000,3.56667e-05
insertion,10000,0.000523667
shell 0,10,5.33333e-06
shell 0,100,1.6e-05
shell 0,1000,0.000528667
shell 0,10000,0.021859
shell 1,10,1.66667e-06
shell 1,100,1.23333e-05
shell 1,1000,0.000655667
shell 1,10000,0.0479157
shell 2,10,1.66667e-06
shell 2,100,2.23333e-05
shell 2,1000,0.000842667
shell 2,10000,0.025808
spin the bottle,10,0.000203
spin the bottle,100,0.0721083
bubble,10,2e-06
bubble,100,2.5e-05
bubble,1000,0.00215633
bubble,10000,0.200857
insertion,10,2e-06
insertion,100,5e-06
insertion,1000,4.86667e-05
insertion,10000,0.000623
shell 0,10,2e-06
shell 0,100,1.96667e-05
shell 0,1000,0.000514
shell 0,10000,0.0525533
shell 0,100000,3.45538
shell 1,10,1.66667e-06
shell 1,100,1.46667e-05
shell 1,1000,0.000539333
shell 1,10000,0.041976
shell 1,100000,2.04648
spin the bottle,10,0.000381333
spin the bottle,100,0.0761253
